palabra,emoji,categoria,España,México,Guatemala,El Salvador,Honduras,Nicaragua,Costa Rica,Panamá,Cuba,Rep. Dominicana,Puerto Rico,Colombia,Venezuela,Ecuador,Perú,Bolivia,Paraguay,Uruguay,Argentina,Chile,Guinea Ecuatorial
jeepney,🚐,"Transporte, calle y ciudad",transporte adaptado de jeep,transporte adaptado de jeep,transporte adaptado de jeep,transporte adaptado de jeep,transporte adaptado de jeep,transporte adaptado de jeep,transporte adaptado de jeep,transporte adaptado de jeep,transporte adaptado de jeep,transporte adaptado de jeep,transporte adaptado de jeep,vehículo tipo jeep/willys de carga y pasajeros,transporte adaptado de jeep,transporte adaptado de jeep,transporte adaptado de jeep,transporte adaptado de jeep,transporte adaptado de jeep,transporte adaptado de jeep,transporte adaptado de jeep,transporte adaptado de jeep,transporte adaptado de jeep
willys,🚙,"Transporte, calle y ciudad",jeep antiguo,jeep antiguo,jeep antiguo,jeep antiguo,jeep antiguo,jeep antiguo,jeep antiguo,jeep antiguo,jeep antiguo,jeep antiguo,jeep antiguo,jeep tradicional cafetero para carga y gente,jeep antiguo,jeep antiguo,jeep antiguo,jeep antiguo,jeep antiguo,jeep antiguo,jeep antiguo,jeep antiguo,jeep antiguo
taxi,🚕,"Transporte, calle y ciudad",vehículo de alquiler con conductor,vehículo de alquiler con conductor,vehículo de alquiler con conductor,vehículo de alquiler con conductor,vehículo de alquiler con conductor,vehículo de alquiler con conductor,vehículo de alquiler con conductor,vehículo de alquiler con conductor,vehículo de alquiler con conductor,vehículo de alquiler con conductor,vehículo de alquiler con conductor,vehículo de alquiler con conductor,vehículo de alquiler con conductor,vehículo de alquiler con conductor,vehículo de alquiler con conductor,vehículo de alquiler con conductor,vehículo de alquiler con conductor,vehículo de alquiler con conductor,vehículo de alquiler con conductor,vehículo de alquiler con conductor,vehículo de alquiler con conductor
radiotaxi,🚕,"Transporte, calle y ciudad",taxi pedido por central telefónica,taxi pedido por central telefónica,taxi pedido por central telefónica,taxi pedido por central telefónica,taxi pedido por central telefónica,taxi pedido por central telefónica,taxi pedido por central telefónica,taxi pedido por central telefónica,taxi pedido por central telefónica,taxi pedido por central telefónica,taxi pedido por central telefónica,taxi pedido por central telefónica,taxi pedido por central telefónica,taxi pedido por central telefónica,taxi pedido por central telefónica,taxi pedido por central telefónica,taxi pedido por central telefónica,taxi pedido por central telefónica,taxi pedido por central telefónica,taxi pedido por central telefónica,taxi pedido por central telefónica
remís,🚗,"Transporte, calle y ciudad",auto de alquiler con chofer (sin taxímetro),auto de alquiler con chofer (sin taxímetro),auto de alquiler con chofer (sin taxímetro),auto de alquiler con chofer (sin taxímetro),auto de alquiler con chofer (sin taxímetro),auto de alquiler con chofer (sin taxímetro),auto de alquiler con chofer (sin taxímetro),auto de alquiler con chofer (sin taxímetro),auto de alquiler con chofer (sin taxímetro),auto de alquiler con chofer (sin taxímetro),auto de alquiler con chofer (sin taxímetro),auto de alquiler con chofer (sin taxímetro),auto de alquiler con chofer (sin taxímetro),auto de alquiler con chofer (sin taxímetro),auto de alquiler con chofer (sin taxímetro),auto de alquiler con chofer (sin taxímetro),auto de alquiler con chofer (sin taxímetro),servicio de auto privado con chofer,servicio de auto privado con chofer,auto de alquiler con chofer (sin taxímetro),auto de alquiler con chofer (sin taxímetro)
ruletero,🚕,"Transporte, calle y ciudad",taxista que da vueltas buscando pasaje,taxi libre que circula buscando clientes,taxista que da vueltas buscando pasaje,taxista que da vueltas buscando pasaje,taxista que da vueltas buscando pasaje,taxista que da vueltas buscando pasaje,taxista que da vueltas buscando pasaje,taxista que da vueltas buscando pasaje,taxista que da vueltas buscando pasaje,taxista que da vueltas buscando pasaje,taxista que da vueltas buscando pasaje,taxista que da vueltas buscando pasaje,taxista que da vueltas buscando pasaje,taxista que da vueltas buscando pasaje,taxista que da vueltas buscando pasaje,taxista que da vueltas buscando pasaje,taxista que da vueltas buscando pasaje,taxista que da vueltas buscando pasaje,taxista que da vueltas buscando pasaje,taxi libre que circula buscando clientes,taxista que da vueltas buscando pasaje
auto,🚗,"Transporte, calle y ciudad",automóvil,automóvil,automóvil,automóvil,automóvil,automóvil,automóvil,automóvil,automóvil,automóvil,automóvil,automóvil,automóvil,automóvil,automóvil,automóvil,automóvil,automóvil,automóvil,automóvil,automóvil
nave,🚗✨,"Transporte, calle y ciudad","auto, especialmente uno llamativo","auto, especialmente uno llamativo","auto (jerga, carro vistoso)","auto (jerga, carro vistoso)","auto (jerga, carro vistoso)","auto (jerga, carro vistoso)","auto (jerga, carro vistoso)","auto (jerga, carro vistoso)","auto (jerga, carro vistoso)","auto (jerga, carro vistoso)","auto (jerga, carro vistoso)","auto (jerga, carro vistoso)","auto (jerga, carro vistoso)","auto (jerga, carro vistoso)","auto (jerga, carro vistoso)","auto (jerga, carro vistoso)","auto (jerga, carro vistoso)","auto (jerga, carro vistoso)","auto, especialmente uno llamativo","auto, especialmente uno llamativo","auto (jerga, carro vistoso)"
fierro,🚗,"Transporte, calle y ciudad",hierro/metal,auto o moto (jerga),hierro/metal,hierro/metal,hierro/metal,hierro/metal,hierro/metal,hierro/metal,hierro/metal,hierro/metal,hierro/metal,hierro/metal,hierro/metal,hierro/metal,hierro/metal,hierro/metal,hierro/metal,hierro/metal,"acelerar a fondo, ir rápido","acelerar a fondo, ir rápido",hierro/metal
buga,🚗,"Transporte, calle y ciudad",coche/automóvil,coche (jerga juvenil),coche (jerga juvenil),coche (jerga juvenil),coche (jerga juvenil),coche (jerga juvenil),coche (jerga juvenil),coche (jerga juvenil),coche (jerga juvenil),coche (jerga juvenil),coche (jerga juvenil),coche (jerga juvenil),coche (jerga juvenil),coche (jerga juvenil),coche (jerga juvenil),coche (jerga juvenil),coche (jerga juvenil),coche (jerga juvenil),coche (jerga juvenil),coche (jerga juvenil),coche (jerga juvenil)
ranfla,🚗,"Transporte, calle y ciudad","auto (jerga, a veces tuneado)","carro, coche","auto (jerga, a veces tuneado)","auto (jerga, a veces tuneado)","auto (jerga, a veces tuneado)","auto (jerga, a veces tuneado)","auto (jerga, a veces tuneado)","auto (jerga, a veces tuneado)","auto (jerga, a veces tuneado)","auto (jerga, a veces tuneado)","auto (jerga, a veces tuneado)","auto (jerga, a veces tuneado)","auto (jerga, a veces tuneado)","auto (jerga, a veces tuneado)","auto (jerga, a veces tuneado)","auto (jerga, a veces tuneado)","auto (jerga, a veces tuneado)","auto (jerga, a veces tuneado)","auto (jerga, a veces tuneado)","auto (jerga, a veces tuneado)","auto (jerga, a veces tuneado)"
chatarra,🚗💥,"Transporte, calle y ciudad",vehículo viejo o en mal estado,vehículo viejo o en mal estado,vehículo viejo o en mal estado,vehículo viejo o en mal estado,vehículo viejo o en mal estado,vehículo viejo o en mal estado,vehículo viejo o en mal estado,vehículo viejo o en mal estado,vehículo viejo o en mal estado,vehículo viejo o en mal estado,vehículo viejo o en mal estado,vehículo viejo o en mal estado,vehículo viejo o en mal estado,vehículo viejo o en mal estado,vehículo viejo o en mal estado,vehículo viejo o en mal estado,vehículo viejo o en mal estado,vehículo viejo o en mal estado,vehículo viejo o en mal estado,vehículo viejo o en mal estado,vehículo viejo o en mal estado
cacharro,🚗,"Transporte, calle y ciudad",auto viejo y destartalado,auto viejo y destartalado,auto viejo y destartalado,auto viejo y destartalado,auto viejo y destartalado,auto viejo y destartalado,auto viejo y destartalado,auto viejo y destartalado,auto viejo y destartalado,auto viejo y destartalado,auto viejo y destartalado,auto viejo y destartalado,auto viejo y destartalado,auto viejo y destartalado,auto viejo y destartalado,auto viejo y destartalado,auto viejo y destartalado,auto viejo y destartalado,auto viejo y destartalado,auto viejo y destartalado,auto viejo y destartalado
cacharpas,🚗,"Transporte, calle y ciudad","auto viejo, trasto","auto viejo, trasto","auto viejo, trasto","auto viejo, trasto","auto viejo, trasto","auto viejo, trasto","auto viejo, trasto","auto viejo, trasto","auto viejo, trasto","auto viejo, trasto","auto viejo, trasto","carro viejo, cachivache","auto viejo, trasto","carro viejo, cachivache","auto viejo, trasto","auto viejo, trasto","auto viejo, trasto","auto viejo, trasto","auto viejo, trasto","auto viejo, trasto","auto viejo, trasto"
moto,🏍️,"Transporte, calle y ciudad",motocicleta,motocicleta,motocicleta,motocicleta,motocicleta,motocicleta,motocicleta,motocicleta,motocicleta,motocicleta,motocicleta,motocicleta,motocicleta,motocicleta,motocicleta,motocicleta,motocicleta,motocicleta,motocicleta,motocicleta,motocicleta
chopper,🏍️,"Transporte, calle y ciudad",moto custom de manillar alto,moto custom de manillar alto,moto custom de manillar alto,moto custom de manillar alto,moto custom de manillar alto,moto custom de manillar alto,moto custom de manillar alto,moto custom de manillar alto,moto custom de manillar alto,moto custom de manillar alto,moto custom de manillar alto,moto custom de manillar alto,moto custom de manillar alto,moto custom de manillar alto,moto custom de manillar alto,moto custom de manillar alto,moto custom de manillar alto,moto custom de manillar alto,moto custom de manillar alto,moto custom de manillar alto,moto custom de manillar alto
bici,🚲,"Transporte, calle y ciudad",bicicleta,bicicleta,bicicleta,bicicleta,bicicleta,bicicleta,bicicleta,bicicleta,bicicleta,bicicleta,bicicleta,bicicleta,bicicleta,bicicleta,bicicleta,bicicleta,bicicleta,bicicleta,bicicleta,bicicleta,bicicleta
monopatín,🛴,"Transporte, calle y ciudad",scooter/patinete (eléctrico o manual),patinete,patinete,patinete,patinete,patinete,patinete,patinete,patinete,patinete,patinete,patinete,patinete,patinete,patinete,patinete,patinete,scooter/patinete (eléctrico o manual),scooter/patinete (eléctrico o manual),scooter/patinete (eléctrico o manual),patinete
patineta,🛹,"Transporte, calle y ciudad",tabla con ruedas (skate),monopatín/scooter de manillar,tabla con ruedas (skate),tabla con ruedas (skate),tabla con ruedas (skate),tabla con ruedas (skate),tabla con ruedas (skate),tabla con ruedas (skate),tabla con ruedas (skate),tabla con ruedas (skate),tabla con ruedas (skate),monopatín/scooter de manillar,monopatín/scooter de manillar,tabla con ruedas (skate),tabla con ruedas (skate),tabla con ruedas (skate),tabla con ruedas (skate),tabla con ruedas (skate),skateboard,skateboard,tabla con ruedas (skate)
patine,🛴,"Transporte, calle y ciudad",patinete eléctrico,patinete/scooter,patinete/scooter,patinete/scooter,patinete/scooter,patinete/scooter,patinete/scooter,patinete/scooter,patinete/scooter,patinete/scooter,patinete/scooter,patinete/scooter,patinete/scooter,patinete/scooter,patinete/scooter,patinete/scooter,patinete/scooter,patinete/scooter,patinete/scooter,patinete/scooter,patinete/scooter
chambeador,🛻,"Transporte, calle y ciudad",vehículo de trabajo,vehículo de trabajo,vehículo de trabajo,vehículo de trabajo,vehículo de trabajo,vehículo de trabajo,vehículo de trabajo,vehículo de trabajo,vehículo de trabajo,vehículo de trabajo,vehículo de trabajo,vehículo de trabajo,vehículo de trabajo,vehículo de trabajo,vehículo de trabajo,vehículo de trabajo,vehículo de trabajo,vehículo de trabajo,vehículo de trabajo,vehículo de trabajo,vehículo de trabajo
troca,🛻,"Transporte, calle y ciudad",camioneta pickup,pickup/troca (del inglés truck),camioneta pickup,camioneta pickup,camioneta pickup,camioneta pickup,camioneta pickup,camioneta pickup,camioneta pickup,camioneta pickup,camioneta pickup,camioneta pickup,camioneta pickup,camioneta pickup,camioneta pickup,camioneta pickup,camioneta pickup,camioneta pickup,camioneta pickup,camioneta pickup,camioneta pickup
pickup,🛻,"Transporte, calle y ciudad",camioneta de batea,camioneta de batea,camioneta de batea,camioneta de batea,camioneta de batea,camioneta de batea,camioneta de batea,camioneta de batea,camioneta de batea,camioneta de batea,camioneta de batea,camioneta de batea,camioneta de batea,camioneta de batea,camioneta de batea,camioneta de batea,camioneta de batea,camioneta de batea,camioneta de batea,camioneta de batea,camioneta de batea
guayín,🚐,"Transporte, calle y ciudad",camioneta familiar tipo van,camioneta familiar/van,camioneta familiar tipo van,camioneta familiar tipo van,camioneta familiar tipo van,camioneta familiar tipo van,camioneta familiar tipo van,camioneta familiar tipo van,camioneta familiar tipo van,camioneta familiar tipo van,camioneta familiar tipo van,camioneta familiar tipo van,camioneta familiar tipo van,camioneta familiar tipo van,camioneta familiar tipo van,camioneta familiar tipo van,camioneta familiar tipo van,camioneta familiar tipo van,camioneta familiar tipo van,camioneta familiar tipo van,camioneta familiar tipo van
